job_date,job_title,job_location
7/16/2018,External Relations Officer,Al-Riyadh - Al-Riyadh Province
7/16/2018,Programmer and Web Designer,Al-Riyadh - Al-Riyadh Province
7/16/2018,Sales Representative,Jeddah - Makkah Province
7/16/2018,Auctioneer,Jeddah - Makkah Province
7/16/2018,Casher,Jeddah - Makkah Province
7/16/2018,IT service manager,Al-Riyadh - Al-Riyadh Province
7/16/2018,Accountant,Al-Riyadh - Al-Riyadh Province
7/16/2018,Supervisor Parts,Al-Riyadh - Al-Riyadh Province
7/16/2018,Expeditor,Jeddah - Makkah Province
7/16/2018,Salesman,Jeddah - Makkah Province
7/16/2018,Executive Director,Jeddah - Makkah Province
7/16/2018,Attorney,Jeddah - Makkah Province
7/16/2018,Conditioning and refrigeration technician,Al-Dammam - Eastern Province
7/16/2018,Electrical Technician,Al-Dammam - Eastern Province
7/16/2018,Security and Safety Engineer,Buaidah - Al-Qasem Province
7/16/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
7/16/2018,optical technician,Jeddah - Makkah Province
7/16/2018,Agricultural engineer,Onaizah - Al-Qasem Province
7/16/2018,Solar System Installation Technician,Al-Riyadh - Al-Riyadh Province
7/16/2018,Bank sales representative,Hafer Al-Baten - Eastern Province
7/16/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
7/16/2018,Accountant,Makkah - Makkah Province
7/16/2018,Electrical Installation Technician,Al-Riyadh - Al-Riyadh Province
7/16/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
7/15/2018,Financial Manager,Jeddah - Makkah Province
7/15/2018,A gym trainer,Al-Riyadh - Al-Riyadh Province
7/15/2018,Coffee record,Abha - Asir Province
7/15/2018,Barista,Al-Riyadh - Al-Riyadh Province
7/15/2018,treasurer,Al-Taif - Makkah Province
7/15/2018,Sales Representative,Jeddah - Makkah Province
7/15/2018,optical technician,Jeddah - Makkah Province
7/15/2018,Cost Accountant,Jeddah - Makkah Province
7/15/2018,secretary,Jeddah - Makkah Province
7/15/2018,Retailer,Al-Dammam - Eastern Province
7/15/2018,Casher,Jeddah - Makkah Province
7/15/2018,Chef,Jeddah - Makkah Province
7/15/2018,Administrative Officer (Special Needs),Al-Riyadh - Al-Riyadh Province
7/15/2018,Data entry,Al-Riyadh - Al-Riyadh Province
7/15/2018,Chef Confectionery,Al-Khobar - Eastern Province
7/15/2018,security guard,Al-Riyadh - Al-Riyadh Province
7/15/2018,Supervisor security,Al-Riyadh - Al-Riyadh Province
7/15/2018,Perfume seller,Al-Riyadh - Al-Riyadh Province
7/14/2018,Public Accountant,Al-Riyadh - Al-Riyadh Province
7/14/2018,Marketing Specialist,Al-Riyadh - Al-Riyadh Province
7/14/2018,Senior Customer Officer,Al-Riyadh - Al-Riyadh Province
7/14/2018,Administrative Officer,Al-Riyadh - Al-Riyadh Province
7/14/2018,security guard,Al-Riyadh - Al-Riyadh Province
7/12/2018,Sales Representative,Al-Riyadh - Al-Riyadh Province
7/12/2018,Salesman,Multiple Cities - All Provinces
7/12/2018,Arabic Chef,Makkah - Makkah Province
7/12/2018,Accountant,Makkah - Makkah Province
7/12/2018,Interior decorator,Al-Riyadh - Al-Riyadh Province
7/12/2018,Computer technician,Al-Riyadh - Al-Riyadh Province
7/12/2018,administrative employee,Al-Riyadh - Al-Riyadh Province
7/12/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
7/12/2018,Driver Transfer,Jeddah - Makkah Province
7/12/2018,Government Relations Officer,Al-Riyadh - Al-Riyadh Province
7/12/2018,security guard,Multiple Cities - All Provinces
7/12/2018,security man,Al-Dammam - Eastern Province
7/12/2018,Human Resource Specialist,Al-Riyadh - Al-Riyadh Province
