job_date,job_title,job_location
2018,External Relations Officer,Riyadh
2018,Programmer and Web Designer,Riyadh
2018,Sales Representative,Jeddah
2018,Auctioneer,Jeddah
2018,Casher,Jeddah
2018,IT service manager,Riyadh
2018,Accountant,Riyadh
2018,Supervisor Parts,Riyadh
2018,Expeditor,Jeddah
2018,Salesman,Jeddah
2018,Executive Director,Jeddah
2018,Attorney,Jeddah
2018,Conditioning and refrigeration technician,Dammam
2018,Electrical Technician,Dammam
2018,Security and Safety Engineer,Buraydah
2018,Expeditor,Riyadh
2018,optical technician,Jeddah
2018,Agricultural engineer,Onaizah
2018,Solar System Installation Technician,Riyadh
2018,Bank sales representative,Hafer Al-Baten
2018,Expeditor,Riyadh
2018,Accountant,Makkah
2018,Electrical Installation Technician,Riyadh
2018,Expeditor,Riyadh
2018,Financial Manager,Jeddah
2018,A gym trainer,Riyadh
2018,Coffee record,Abha
2018,Barista,Riyadh
2018,treasurer,Taif
2018,Sales Representative,Jeddah
2018,optical technician,Jeddah
2018,Cost Accountant,Jeddah
2018,secretary,Jeddah
2018,Retailer,Dammam
2018,Casher,Jeddah
2018,Chef,Jeddah
2018,Administrative Officer (Special Needs),Riyadh
2018,Data entry,Riyadh
2018,Chef Confectionery,Khobar
2018,security guard,Riyadh
2018,Supervisor security,Riyadh
2018,Perfume seller,Riyadh
2018,Public Accountant,Riyadh
2018,Marketing Specialist,Riyadh
2018,Senior Customer Officer,Riyadh
2018,Administrative Officer,Riyadh
2018,security guard,Riyadh
2018,Sales Representative,Riyadh
2018,Salesman,All Provinces
2018,Arabic Chef,Makkah
2018,Accountant,Makkah
2018,Interior decorator,Riyadh
2018,Computer technician,Riyadh
2018,administrative employee,Riyadh
2018,Expeditor,Riyadh
2018,Driver Transfer,Jeddah
2018,Government Relations Officer,Riyadh
2018,security guard,All Provinces
2018,security man,Dammam
2018,Human Resource Specialist,Riyadh
2008,Warehouse Coordinator,Jeddah
2008,secretary,Medina
2008,Accountant,Medina
2008,Special Secretary,Riyadh
2008,Reservation and Airline Officer,Riyadh
2008,Accountant,Riyadh
2008,Lab Technician,Jeddah
2008,Advertising Marketer,Riyadh
2008,Marketing Supervisor,Riyadh
2008,Executive secretary,Riyadh
2008,Administrative Coordinator,Riyadh
2008,nursing,Riyadh
2009,secretary,Riyadh
2009,Receptionist,Riyadh
2009,Director of hotel suites,Riyadh
2009,graphic designer,Riyadh
2009,Delegate / marketing delegate,Riyadh
2009,Web Developer,Riyadh
2009,Sales Engineer for Internet Solutions,Riyadh
2009,Saudi doctor,Al-Qurayyat
2009,Teacher,Dammam
2009,Driver and Sales Representative,Taif
2009,Expeditor,Riyadh
2009,secretary,Riyadh
2009,Engineer,Buraidah
2009,Sales Representative,Riyadh
2009,Sales representative in the hall,Riyadh
2009,Programmer,Jeddah
2009,coordinator,Riyadh
2009,Accountant,Riyadh
