job_date,job_title,job_location
2018,Android Software Engineer,jeddah
2018,Web Services & API Developer,jeddah
2018,PROJECT MANAGER (for a Zamil Group Managed Subsidiary),Dammam
2018,Systems Integrator,Riyadh
2018,Operations Systems Analyst,Jeddah
2018,Support Functions Systems Analyst,Jeddah
2018,Sales System Executive,Jeddah
2018,Operations Systems Analyst,Jeddah
2018,Support Functions Systems Analyst,Jeddah
2018,Pre-Sales Engineer (Network Design),Riyadh
2018,IT Support Specialist,Riyadh
2018,IT Support Officer,Jeddah
2018,Pre-Sales Engineer (Network Design),Riyadh
2018,Mobile Application Developer,Riyadh
2017,IT Security Lead,Riyadh
2018,IT Support Specialist,Jeddah
2018,Call Center support Technician,Jeddah
