"job_date","job_title","job_location"
"07/08/2018","Customs Trustee","Al-Riyadh - Al-Riyadh Province"
"07/02/2018","Sales and marketing representative","Al-Riyadh - Al-Riyadh Province"
"07/01/2018","Sales and marketing representative","Al-Riyadh - Al-Riyadh Province"
"06/30/2018","Sales and marketing representative","Al-Riyadh - Al-Riyadh Province"
"06/09/2018","general relations employee","Jeddah - Makkah Province"
"06/07/2018","Customer Service Officer","Al-Riyadh - Al-Riyadh Province"
"05/29/2018","Coordinator of general therapies","Al-Riyadh - Al-Riyadh Province"
"05/12/2018","Public Relations Officer and Patient","Al-Qatef - Eastern Province"
"04/19/2018","Responsible for public relations","Al-Riyadh - Al-Riyadh Province"
"04/09/2018","Customer service employee","Al-Riyadh - Al-Riyadh Province"
"03/27/2018","Contact Officer - Central","Al-Riyadh - Al-Riyadh Province"
"03/15/2018","public relationship manager","Al-Khobar - Eastern Province"
"03/14/2018","public relations officer","Al-Khobar - Eastern Province"
"03/07/2018","Casher","Al-Riyadh - Al-Riyadh Province"
"03/05/2018","Administrative Officer - Customer Service","Al-Riyadh - Al-Riyadh Province"
"02/27/2018","public relations officer","Jeddah - Makkah Province"
"02/22/2018","Public Relation Manager","Jeddah - Makkah Province"
"01/25/2018","general relations employee","Al-Dhahran - Eastern Province"
"01/23/2018","Customer service employee","Al-Riyadh - Al-Riyadh Province"
"01/21/2018","Customer service employee","Al-Riyadh - Al-Riyadh Province"
"01/13/2018","Marketing Officer","Al-Riyadh - Al-Riyadh Province"
"12/20/2017","Customer Service Officer","Jeddah - Makkah Province"
"11/28/2017","Customer Service Officer","Al-Riyadh - Al-Riyadh Province"
"11/27/2017","Customer Service Specialist","Al-Riyadh - Al-Riyadh Province"
"11/27/2017","Customer Service Officer","Al-Riyadh - Al-Riyadh Province"
"11/13/2017","Director of Foreign Parties","Al-Riyadh - Al-Riyadh Province"
"11/05/2017","Sales Representative","Jeddah - Makkah Province"
"09/20/2017","Sales Representative","Jeddah - Makkah Province"
"09/17/2017","Sales Representative","Jeddah - Makkah Province"
"09/07/2017","Sales and marketing representative","Jeddah - Makkah Province"
"09/03/2017","Social communication specialist","Multiple Cities - All Provinces"
"08/30/2017","Cole Center employee","Jeddah - Makkah Province"
"07/24/2017","Customer Service Officer","Al-Riyadh - Al-Riyadh Province"
"07/09/2017","Customer service employee","Makkah - Makkah Province"
"07/03/2017","public relations officer","Al-Riyadh - Al-Riyadh Province"
"06/08/2017","public relations officer","Al-Khobar - Eastern Province"
"05/30/2017","Fund Accountant (Cashier)","Al-Riyadh - Al-Riyadh Province"
"05/21/2017","Customer Service Specialist","Al-Riyadh - Al-Riyadh Province"
"05/11/2017","public relations officer","Al-Riyadh - Al-Riyadh Province"
"05/08/2017","Marketing Specialist","Al-Riyadh - Al-Riyadh Province"
"04/08/2017","Customer Services Officer","Jeddah - Makkah Province"
"03/28/2017","debt collector","Al-Riyadh - Al-Riyadh Province"
"02/01/2017","Customer Service - Cool Center","Onaizah - Al-Qasem Province"
"02/01/2017","Site Accounts Administrator","Al-Riyadh - Al-Riyadh Province"
"01/14/2017","Government Relations Officer","Jeddah - Makkah Province"
"01/08/2017","Specialist tests","Al-Riyadh - Al-Riyadh Province"
"12/25/2016","Responsible for public relations","Al-Riyadh - Al-Riyadh Province"
"12/25/2016","Call center employee","Al-Riyadh - Al-Riyadh Province"
"12/12/2016","Expeditor","Al-Khobar - Eastern Province"
"11/06/2016","Customer Service Officer (Cool Center)","Al-Riyadh - Al-Riyadh Province"
"11/05/2016","Customer service employee","Jeddah - Makkah Province"
"10/17/2016","Employee booking tickets and hotels","Al-Riyadh - Al-Riyadh Province"
"10/16/2016","Expeditor","Jeddah - Makkah Province"
"09/26/2016","Customer service employee","Jeddah - Makkah Province"
"08/23/2016","secretary","Jeddah - Makkah Province"
"08/20/2016","Organizer of conferences and exhibitions","Jeddah - Makkah Province"
"07/15/2016","Senior customer responsible (via phone)","Jeddah - Makkah Province"
"07/13/2016","public relations officer","Al-Ahsaa - Eastern Province"
"06/18/2016","Data entry","Al-Riyadh - Al-Riyadh Province"
"06/13/2016","Connection Coordinator","Al-Riyadh - Al-Riyadh Province"
"06/06/2016","Connection Coordinator","Al-Riyadh - Al-Riyadh Province"
"05/15/2016","Cole Center employee","Al-Riyadh - Al-Riyadh Province"
"05/11/2016","general relations employee","Jeddah - Makkah Province"
"05/02/2016","English translator","Al-Deriah - Al-Riyadh Province"
"04/28/2016","Patient Services Officer","Buaidah - Al-Qasem Province"
"04/25/2016","Customer Service (Phone)","Al-Riyadh - Al-Riyadh Province"
"04/20/2016","English Translator","Al-Riyadh - Al-Riyadh Province"
"04/18/2016","Customer Service (Phone)","Al-Riyadh - Al-Riyadh Province"
"04/13/2016","Public Relations Officer","Al-Riyadh - Al-Riyadh Province"
"04/10/2016","public relations officer","Al-Riyadh - Al-Riyadh Province"
"04/10/2016","Customer Service Officer","Al-Riyadh - Al-Riyadh Province"
"04/03/2016","Cashmere Restaurant","Al-Riyadh - Al-Riyadh Province"
"03/27/2016","Customer Accounts Officer","Al-Riyadh - Al-Riyadh Province"
"03/27/2016","Cole Center employee","Al-Riyadh - Al-Riyadh Province"
"03/22/2016","Sales Officer","Al-Riyadh - Al-Riyadh Province"
"03/16/2016","Marketer","Jeddah - Makkah Province"
"03/10/2016","Customer Service (Phone)","Al-Riyadh - Al-Riyadh Province"
"02/28/2016","Customer Service (Phone)","Al-Riyadh - Al-Riyadh Province"
"02/15/2016","Collector","Jeddah - Makkah Province"
"02/09/2016","Reception Engineer","Al-Riyadh - Al-Riyadh Province"
"02/02/2016","Customer service employee","Jeddah - Makkah Province"
"01/26/2016","Reception Engineer","Al-Riyadh - Al-Riyadh Province"
"01/25/2016","Game player","Al-Madinah - Madinah Province"
"01/25/2016","general relations employee","Al-Madinah - Madinah Province"
"01/24/2016","Director of social networking accounts","Makkah - Makkah Province"
"12/29/2015","Marketing and Public Relations Officer","Al-Riyadh - Al-Riyadh Province"
"12/16/2015","Cole Center employee","Al-Riyadh - Al-Riyadh Province"
"12/07/2015","Customer service employee","Jeddah - Makkah Province"
"11/30/2015","Government Relations Officer","Al-Riyadh - Al-Riyadh Province"
"11/22/2015","Government Relations Officer","Al-Riyadh - Al-Riyadh Province"
"11/18/2015","Responsible for social networks","Al-Riyadh - Al-Riyadh Province"
"11/11/2015","Contact Center Officer","Al-Riyadh - Al-Riyadh Province"
"11/11/2015","Complaints official","Al-Riyadh - Al-Riyadh Province"
"11/09/2015","Casher","Jeddah - Makkah Province"
"11/09/2015","Customer service employee","Jeddah - Makkah Province"
"11/05/2015","Expeditor","Al-Riyadh - Al-Riyadh Province"
"11/02/2015","Customer Service Officer (Remote and Phone)","Jeddah - Makkah Province"
"10/21/2015","Controller branches","Jeddah - Makkah Province"
"10/15/2015","Debt collection","Al-Riyadh - Al-Riyadh Province"
"10/14/2015","Debt collection","Al-Riyadh - Al-Riyadh Province"
"09/27/2015","Customer service employee","Makkah - Makkah Province"
"09/06/2015","Customer Service Officer","Al-Riyadh - Al-Riyadh Province"
"08/26/2015","general relations employee","Jeddah - Makkah Province"
"08/24/2015","general relations employee","Al-Riyadh - Al-Riyadh Province"
"08/19/2015","Bank Representative","Al-Riyadh - Al-Riyadh Province"
"08/12/2015","Customer Services Officer","Al-Riyadh - Al-Riyadh Province"
