job_date,job_title,job_location
7/18/2018,Cashier (Treasurer),Al-Riyadh - Al-Riyadh Province
7/17/2018,Receptionist Restaurant,Al-Riyadh - Al-Riyadh Province
7/3/2018,Customer contact and customer service,Buaidah - Al-Qasem Province
7/2/2018,Receptionist,Jeddah - Makkah Province
7/1/2018,Customer Service Officer - My Phone,Al-Riyadh - Al-Riyadh Province
6/25/2018,Sales employee,Multiple Cities - All Provinces
6/25/2018,Receptionist and customer service,Al-Riyadh - Al-Riyadh Province
6/24/2018,receptionist,Al-Riyadh - Al-Riyadh Province
6/23/2018,Receptionist and customer service,Al-Riyadh - Al-Riyadh Province
6/2/2018,Receptionist,Jeddah - Makkah Province
5/31/2018,receptionist,Al-Riyadh - Al-Riyadh Province
5/29/2018,Customer service employee,Al-Riyadh - Al-Riyadh Province
5/27/2018,Receptionist and customer service,Al-Riyadh - Al-Riyadh Province
5/19/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
5/16/2018,receptionist,Buaidah - Al-Qasem Province
5/14/2018,Car Rental Officer,Jeddah - Makkah Province
5/14/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
5/14/2018,Customer Service Officer,Al-Riyadh - Al-Riyadh Province
5/13/2018,Car hire clerk,Al-Dammam - Eastern Province
5/10/2018,Car Rental Officer,Jeddah - Makkah Province
5/9/2018,Hotel receptionist,Rabigh - Makkah Province
5/9/2018,Car Rental Officer,Jeddah - Makkah Province
5/5/2018,Receptionist - Maintenance,Buaidah - Al-Qasem Province
5/5/2018,Receptionist,Al-Dammam - Eastern Province
5/3/2018,Cashier Restaurant,Al-Dammam - Eastern Province
5/1/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
4/30/2018,Receptionist,Jeddah - Makkah Province
4/26/2018,Receptionist and customer service,Al-Riyadh - Al-Riyadh Province
4/24/2018,receptionist,Al-Riyadh - Al-Riyadh Province
4/23/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
4/23/2018,Cole Center employee,Jeddah - Makkah Province
4/22/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
4/15/2018,Casher,Makkah - Makkah Province
4/15/2018,Customer service employee,Al-Riyadh - Al-Riyadh Province
4/12/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
4/10/2018,receptionist,Al-Qatef - Eastern Province
4/8/2018,Customer Service Officer,Jeddah - Makkah Province
4/8/2018,receptionist,Al-Riyadh - Al-Riyadh Province
4/6/2018,receptionist,Hail - Hail Province
4/5/2018,Customer receptionist,Jeddah - Makkah Province
4/4/2018,Receptionist Restaurant,Al-Riyadh - Al-Riyadh Province
4/4/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
4/3/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
4/1/2018,Receptionist,Jeddah - Makkah Province
3/29/2018,Customer service employee,Jeddah - Makkah Province
3/29/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
3/28/2018,receptionist,Al-Riyadh - Al-Riyadh Province
3/28/2018,Reception staff and customer service,Al-Riyadh - Al-Riyadh Province
3/27/2018,receptionist,Al-Khobar - Eastern Province
3/24/2018,Housing representative,Makkah - Makkah Province
3/23/2018,Receptionist,Makkah - Makkah Province
3/20/2018,Customer service employee,Al-Riyadh - Al-Riyadh Province
3/19/2018,Car hire receptionist,Al-Dammam - Eastern Province
3/19/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
3/15/2018,secretary,Al-Khobar - Eastern Province
3/14/2018,receptionist,Buaidah - Al-Qasem Province
3/13/2018,Maintenance Engineer,Tabouk - Tabouk Province
3/7/2018,Patient receptionist,Khames Mushait - Asir Province
3/6/2018,Casher,Al-Riyadh - Al-Riyadh Province
3/6/2018,Receptionist,Al-Riyadh - Al-Riyadh Province
3/5/2018,Car Hire Specialist,Al-Dammam - Eastern Province
3/5/2018,Receptionist,Jeddah - Makkah Province
3/4/2018,receptionist,Al-Riyadh - Al-Riyadh Province
3/4/2018,Car Rental Officer,Al-Riyadh - Al-Riyadh Province
2/27/2018,Receptionist,Jeddah - Makkah Province
2/25/2018,Car Rental Officer,Al-Riyadh - Al-Riyadh Province
2/19/2018,Casher,Al-Madinah - Madinah Province
2/11/2018,receptionist,Al-Dammam - Eastern Province
2/10/2018,Reception Representative,Jeddah - Makkah Province
2/7/2018,Casher,Jeddah - Makkah Province
1/30/2018,Receptionist,Jeddah - Makkah Province
1/28/2018,Receptionist,Makkah - Makkah Province
1/27/2018,Customer service employee,Jeddah - Makkah Province
1/19/2018,Patient receptionist,Al-Riyadh - Al-Riyadh Province
