job_date,job_title,job_location
6/30/2018,bus driver,Al-Dhahran - Eastern Province
6/22/2018,Customer service employee,Multiple Cities - All Provinces
6/19/2018,Customer service employee,Al-Riyadh - Al-Riyadh Province
6/13/2018,Customer Service Officer,Al-Dammam - Eastern Province
5/31/2018,Customer service employee,Al-Riyadh - Al-Riyadh Province
5/13/2018,customer service supervisor,Al-Khobar - Eastern Province
5/6/2018,Goods stylist,Al-Khobar - Eastern Province
4/24/2018,customer service representative,Multiple Cities - All Provinces
4/13/2018,Cole Center employee,Jeddah - Makkah Province
4/3/2018,Fleet Supervisor,Arar - Northern Border Province
4/2/2018,Client Accounts Coordinator,Al-Riyadh - Al-Riyadh Province
4/2/2018,Computer technician,Al-Riyadh - Al-Riyadh Province
3/19/2018,Non real estate offers,Jeddah - Makkah Province
3/15/2018,Customer Service Officer - Phone,Al-Riyadh - Al-Riyadh Province
3/14/2018,truck driver,Al-Riyadh - Al-Riyadh Province
3/14/2018,Distributor of goods,Al-Riyadh - Al-Riyadh Province
3/13/2018,customer service supervisor,Al-Khobar - Eastern Province
3/12/2018,Customer Service Officer,Al-Khobar - Eastern Province
2/18/2018,Contact Center Officer,Al-Riyadh - Al-Riyadh Province
2/11/2018,Sales and marketing representative,Al-Dammam - Eastern Province
2/11/2018,Supply delegate,Al-Riyadh - Al-Riyadh Province
2/4/2018,Administrative Coordinator,Al-Riyadh - Al-Riyadh Province
2/1/2018,Customer Service Specialist,Al-Riyadh - Al-Riyadh Province
1/21/2018,Customer Service Officer,Multiple Cities - All Provinces
1/4/2018,libarian,Al-Dhahran - Eastern Province
12/14/2017,Customer Service Officer,Al-Riyadh - Al-Riyadh Province
12/7/2017,customer service representative,Al-Riyadh - Al-Riyadh Province
12/6/2017,Cole Center employee,Al-Riyadh - Al-Riyadh Province
11/28/2017,Customer Order Writer,Al-Riyadh - Al-Riyadh Province
11/5/2017,Operations Coordinator,Al-Riyadh - Al-Riyadh Province
10/22/2017,Customer Service Officer,Al-Riyadh - Al-Riyadh Province
10/18/2017,Customer Service Officer,Al-Riyadh - Al-Riyadh Province
10/18/2017,Customer service employee,Al-Riyadh - Al-Riyadh Province
10/16/2017,Cole Center employee,Al-Khobar - Eastern Province
10/16/2017,Customer service employee,Tabouk - Tabouk Province
10/9/2017,Customer service employee,Al-Riyadh - Al-Riyadh Province
10/5/2017,Customer Service Officer,Al-Khobar - Eastern Province
10/2/2017,Customer receptionist,Al-Riyadh - Al-Riyadh Province
10/1/2017,Customer Service Officer,Al-Riyadh - Al-Riyadh Province
9/12/2017,Cole Center employee,Jeddah - Makkah Province
8/28/2017,Customer service employee,Al-Riyadh - Al-Riyadh Province
8/13/2017,Data entry,Jeddah - Makkah Province
7/24/2017,Database Analyzer,Al-Riyadh - Al-Riyadh Province
7/18/2017,Customer service employee,Makkah - Makkah Province
6/4/2017,Customer Service & Sales Officer,Al-Madinah - Madinah Province
5/24/2017,Employee Call Center,Jeddah - Makkah Province
5/24/2017,High Access supervisor,Makkah - Makkah Province
5/24/2017,External soft services inspector,Makkah - Makkah Province
5/24/2017,Waste management supervisor,Makkah - Makkah Province
5/24/2017,Internal soft services supervisor,Makkah - Makkah Province
