job_date,job_title,job_location
7/18/2018,Government Relations Officer,Al-Riyadh - Al-Riyadh Province
7/16/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
7/12/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
7/12/2018,Government Relations Officer,Al-Riyadh - Al-Riyadh Province
7/11/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
7/10/2018,Expeditor,Jeddah - Makkah Province
7/9/2018,Insurance and Transport Coordinator,Al-Jubail - Eastern Province
7/8/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
7/4/2018,Collector,Al-Riyadh - Al-Riyadh Province
7/3/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
6/28/2018,Expeditor,Jeddah - Makkah Province
6/27/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
6/27/2018,Government Relations Officer,Al-Riyadh - Al-Riyadh Province
6/27/2018,Trainee lawyer,Jeddah - Makkah Province
6/26/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
6/25/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
6/24/2018,Expeditor,Jeddah - Makkah Province
6/23/2018,Customer Service Officer,Al-Riyadh - Al-Riyadh Province
6/23/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
6/21/2018,Customer Service Officer,Al-Riyadh - Al-Riyadh Province
6/19/2018,Expeditor,Al-Madinah - Madinah Province
5/31/2018,Tendering delegate,Abha - Asir Province
5/29/2018,Government Relations Officer,Jeddah - Makkah Province
5/10/2018,Expeditor,Al-Khobar - Eastern Province
5/2/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
5/1/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
4/30/2018,debt collector,Al-Khobar - Eastern Province
4/23/2018,References to government departments,Jeddah - Makkah Province
4/22/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
4/12/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
4/8/2018,Debt collection,Al-Riyadh - Al-Riyadh Province
4/4/2018,Government Relations Officer,Al-Riyadh - Al-Riyadh Province
4/4/2018,Expeditor,Al-Dammam - Eastern Province
4/3/2018,Customs Trustee,Al-Riyadh - Al-Riyadh Province
3/19/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
3/14/2018,debt collector,Al-Riyadh - Al-Riyadh Province
3/13/2018,Expeditor,Jeddah - Makkah Province
3/6/2018,Government Relations Officer,Al-Riyadh - Al-Riyadh Province
3/3/2018,Expeditor,Jeddah - Makkah Province
3/2/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
3/1/2018,Government Relations Officer,Al-Riyadh - Al-Riyadh Province
2/19/2018,Expeditor,Al-Riyadh - Al-Riyadh Province
2/14/2018,Expeditor,Al-Dhahran - Eastern Province
2/11/2018,Expeditor,Jeddah - Makkah Province
1/22/2018,Expeditor,Jeddah - Makkah Province
1/17/2018,Expeditor,Jeddah - Makkah Province
1/3/2018,governmental relations agent,Al-Riyadh - Al-Riyadh Province
12/31/2017,Expeditor,Makkah - Makkah Province
12/16/2017,Expeditor,Jeddah - Makkah Province
12/10/2017,Expeditor,Multiple Cities - All Provinces
12/6/2017,Administrative Affairs Officer,Al-Riyadh - Al-Riyadh Province
12/5/2017,Expeditor,Al-Riyadh - Al-Riyadh Province
11/23/2017,Expeditor,Jeddah - Makkah Province
11/19/2017,Expeditor,Jeddah - Makkah Province
11/6/2017,Expeditor,Al-Dammam - Eastern Province
11/2/2017,"Muqab (Jeddah, Riyadh, Taif)",Jeddah - Makkah Province
10/30/2017,Government Relations Officer,Al-Riyadh - Al-Riyadh Province
10/26/2017,Expeditor,Jazan - Jazan Province
10/15/2017,Expeditor,Al-Riyadh - Al-Riyadh Province
