"job_date","job_title","job_location"
"05/27/2018","Nurse","Al-Dammam - Eastern Province"
"05/14/2018","General nurse","Makkah - Makkah Province"
"05/08/2018","a nurse","Jeddah - Makkah Province"
"05/07/2018","Nurse","Jeddah - Makkah Province"
"05/02/2018","Nurse","Multiple Cities - All Provinces"
"04/17/2018","Physiotherapist","Al-Qatef - Eastern Province"
"03/28/2018","Nurse","Al-Qatef - Eastern Province"
"03/20/2018","Nurse","Al-Riyadh - Al-Riyadh Province"
"03/15/2018","Cupping specialist","Al-Riyadh - Al-Riyadh Province"
"03/04/2018","a nurse","Al-Riyadh - Al-Riyadh Province"
"02/28/2018","Dentist's help","Al-Dammam - Eastern Province"
"02/28/2018","General nurse","Al-Dammam - Eastern Province"
"02/22/2018","Nurse","Al-Dammam - Eastern Province"
"02/21/2018","Nurse","Al-Riyadh - Al-Riyadh Province"
"01/31/2018","Nurse","Makkah - Makkah Province"
"01/05/2018","a nurse","Al-Riyadh - Al-Riyadh Province"
"01/03/2018","Nurse","Al-Riyadh - Al-Riyadh Province"
"12/25/2017","Nurse","Al-Riyadh - Al-Riyadh Province"
"12/14/2017","Educational Supervisor","Al-Riyadh - Al-Riyadh Province"
"12/14/2017","a nurse","Al-Riyadh - Al-Riyadh Province"
"12/14/2017","Special education teacher","Al-Riyadh - Al-Riyadh Province"
"12/13/2017","Nurse","Al-Riyadh - Al-Riyadh Province"
"12/03/2017","Nurse","Al-Riyadh - Al-Riyadh Province"
"11/26/2017","Nurse","Rabigh - Makkah Province"
"11/20/2017","Nurse","Al-Dammam - Eastern Province"
"11/09/2017","Nursing Specialist","Al-Riyadh - Al-Riyadh Province"
"10/23/2017","Nurse","Al-Riyadh - Al-Riyadh Province"
"10/17/2017","Specialist Nursing","Al-Riyadh - Al-Riyadh Province"
"10/08/2017","Nurse","Wadi Al-Dawaser - Al-Riyadh Province"
"08/23/2017","Nurse","Al-Riyadh - Al-Riyadh Province"
"08/20/2017","Nurse","Multiple Cities - All Provinces"
"08/09/2017","Health Insurance Officer","Al-Riyadh - Al-Riyadh Province"
"07/31/2017","Specialist Nursing","Al-Riyadh - Al-Riyadh Province"
"07/26/2017","a nurse","Al-Riyadh - Al-Riyadh Province"
"07/02/2017","Dentist's help","Al-Dammam - Eastern Province"
"07/01/2017","Nurse","Al-Riyadh - Al-Riyadh Province"
"06/23/2017","General nurse","Al-Riyadh - Al-Riyadh Province"
"04/27/2017","Nurse","Makkah - Makkah Province"
"04/24/2017","Physiotherapist","Buaidah - Al-Qasem Province"
"04/20/2017","Nurse","Al-Riyadh - Al-Riyadh Province"
"04/03/2017","Physiotherapist","Buaidah - Al-Qasem Province"
"02/13/2017","Nurse","Al-Riyadh - Al-Riyadh Province"
"02/13/2017","Nurse","Jeddah - Makkah Province"
"01/04/2017","a nurse","Makkah - Makkah Province"
"12/25/2016","Infection Control Specialist","Al-Riyadh - Al-Riyadh Province"
"12/13/2016","Massage and physiotherapy technician","Khames Mushait - Asir Province"
"10/26/2016","Nurse","Al-Riyadh - Al-Riyadh Province"
"08/31/2016","a nurse","Al-Dammam - Eastern Province"
"08/24/2016","Nurse","Al-Riyadh - Al-Riyadh Province"
"08/15/2016","Physiotherapist","Al-Riyadh - Al-Riyadh Province"
"08/07/2016","Nursing technician","Multiple Cities - All Provinces"
"08/07/2016","Technical laboratory","Multiple Cities - All Provinces"
"08/07/2016","Laboratory specialist","Multiple Cities - All Provinces"
"08/07/2016","Dietitian","Multiple Cities - All Provinces"
"07/30/2016","Nurse","Al-Riyadh - Al-Riyadh Province"
"05/18/2016","a nurse","Al-Madinah - Madinah Province"
"04/09/2016","a nurse","Jeddah - Makkah Province"
"04/04/2016","Nurse (Department of Ophthalmology)","Jeddah - Makkah Province"
"04/03/2016","nutrition specialist","Al-Riyadh - Al-Riyadh Province"
"02/25/2016","a nurse","Al-Riyadh - Al-Riyadh Province"
"01/27/2016","Expeditor","Khames Mushait - Asir Province"
"01/03/2016","Dietitian","Al-Riyadh - Al-Riyadh Province"
"01/03/2016","Physiotherapist","Al-Riyadh - Al-Riyadh Province"
"12/10/2015","Ear, Nose and Throat Specialist","Al-Madinah - Madinah Province"
"11/24/2015","Speech and Hearing Specialist","Jeddah - Makkah Province"
"11/14/2015","Nurse","Al-Riyadh - Al-Riyadh Province"
"11/10/2015","Nursing technician","Al-Madinah - Madinah Province"
"10/20/2015","Nurse","Al-Riyadh - Al-Riyadh Province"
"10/12/2015","Dietitian","Onaizah - Al-Qasem Province"
"10/04/2015","Dietitian","Afif - Al-Riyadh Province"
"08/20/2015","a nurse","Makkah - Makkah Province"
"08/15/2015","a nurse","Makkah - Makkah Province"
"08/10/2015","Dietitian","Al-Baha - Al-Baha Province"
"07/09/2015","nutrition specialist","Al-Namas - Asir Province"
"06/23/2015","Site Manager","Multiple Cities - All Provinces"
"06/23/2015","nutrition specialist","Multiple Cities - All Provinces"
"06/04/2015","Help a dentist or general nurse","Jeddah - Makkah Province"
"04/27/2015","Beauty & Laser Specialist","Jeddah - Makkah Province"
"04/21/2015","Nurse","Al-Riyadh - Al-Riyadh Province"
"04/20/2015","Nurse","Al-Madinah - Madinah Province"
"03/30/2015","Nurse","Al-Riyadh - Al-Riyadh Province"
"03/29/2015","Safety Officer","Al-Dammam - Eastern Province"
"03/29/2015","Male Nurse","Al-Dammam - Eastern Province"
