"job_date","job_title","job_location"
"07/15/2018","optical technician","Jeddah - Makkah Province"
"07/03/2018","Splint technician","Jeddah - Makkah Province"
"07/03/2018","Laboratory Manager","Al-Riyadh - Al-Riyadh Province"
"05/22/2018","Comprehensive insurance officer","Khames Mushait - Asir Province"
"05/15/2018","Natural Remedies","Al-Riyadh - Al-Riyadh Province"
"05/15/2018","Physiotherapist","Al-Riyadh - Al-Riyadh Province"
"04/23/2018","Ray technician","Rabigh - Makkah Province"
"04/17/2018","Head of Air Quality","MYAS - Madinah Province"
"04/01/2018","Laboratory Manager","Al-Riyadh - Al-Riyadh Province"
"03/28/2018","laboratory technician","Al-Qatef - Eastern Province"
"03/28/2018","X-ray specialist","Al-Qatef - Eastern Province"
"03/01/2018","Medical Laboratory Technician","Al-Riyadh - Al-Riyadh Province"
"02/26/2018","optical technician","Al-Riyadh - Al-Riyadh Province"
"02/18/2018","Practitioner of cupping","Buaidah - Al-Qasem Province"
"02/05/2018","Massage Therapist","Jeddah - Makkah Province"
"02/01/2018","receptionist","Al-Riyadh - Al-Riyadh Province"
"01/08/2018","X-ray specialist","Jeddah - Makkah Province"
"01/02/2018","Trainer - Doctor","Al-Riyadh - Al-Riyadh Province"
"12/18/2017","Ray technician","Al-Riyadh - Al-Riyadh Province"
"11/09/2017","Insurance Officer","Al-Riyadh - Al-Riyadh Province"
"08/22/2017","veterinary doctor","Al-Riyadh - Al-Riyadh Province"
"08/22/2017","laboratory technician","Al-Riyadh - Al-Riyadh Province"
"08/19/2017","Editor of electronic magazine","Multiple Cities - All Provinces"
"07/02/2017","Director of Medical Center","Al-Riyadh - Al-Riyadh Province"
"06/23/2017","laboratory technician","Al-Riyadh - Al-Riyadh Province"
"05/02/2017","Dentist's help","Makkah - Makkah Province"
"02/09/2017","Dental technician","Najran - Najran Province"
"01/05/2017","Dental Technician","Beshah - Asir Province"
"12/06/2016","Supervisor clinic","Buaidah - Al-Qasem Province"
"12/02/2016","Pharmacist Assistant","Multiple Cities - All Provinces"
"08/29/2016","Optometrist","Al-Riyadh - Al-Riyadh Province"
"05/09/2016","Technical laboratory","Jeddah - Makkah Province"
"05/03/2016","optical technician","Al-Riyadh - Al-Riyadh Province"
"04/09/2016","ophthalmologist","Jeddah - Makkah Province"
"04/07/2016","pharmacist","Al-Riyadh - Al-Riyadh Province"
"02/28/2016","Claims Coordinator (Insurance Coordinator)","Al-Taif - Makkah Province"
"12/21/2015","Technician dental laboratory","Al-Khobar - Eastern Province"
"10/19/2015","Physiotherapist","Jeddah - Makkah Province"
"10/13/2015","Sewing of surgical clothing","Al-Riyadh - Al-Riyadh Province"
"10/04/2015","Call Center Agent","Al-Khobar - Eastern Province"
"09/14/2015","Call Center Agent","Al-Khobar - Eastern Province"
"09/06/2015","Call Center Agent","Al-Khobar - Eastern Province"
"08/23/2015","Laboratory specialist","Makkah - Makkah Province"
"06/28/2015","Medical/Approval doctor","Al-Khobar - Eastern Province"
"06/04/2015","Dental technician","Al-Riyadh - Al-Riyadh Province"
"05/13/2015","Biomedical Engineer","Jeddah - Makkah Province"
"04/05/2015","Assistant Dental Technician","Al-Khobar - Eastern Province"
"01/15/2015","Dietitian","Multiple Cities - All Provinces"
"01/14/2015","nutrition specialist","Khames Mushait - Asir Province"
"01/06/2015","X Ray Technician","Al-Khafgi - Eastern Province"
"12/23/2014","Magnetic resonance technician","Jeddah - Makkah Province"
"12/23/2014","Ray technician","Jeddah - Makkah Province"
"10/15/2014","Translated","Al-Riyadh - Al-Riyadh Province"
"06/25/2014","laboratory technician","Al-Riyadh - Al-Riyadh Province"
"05/22/2014","optical technician","Al-Madinah - Madinah Province"
"05/17/2014","Medical records coding officer","Al-Riyadh - Al-Riyadh Province"
"05/17/2014","Medical Record Writer","Al-Riyadh - Al-Riyadh Province"
"04/25/2014","Consultant ISO 9001 and ISO 22000 certification","Al-Riyadh - Al-Riyadh Province"
"04/22/2014","Medical equipment maintenance technician","Al-Riyadh - Al-Riyadh Province"
"04/03/2014","ISO 9001 and ISO 22000 certification consultant","Al-Riyadh - Al-Riyadh Province"
"04/02/2014","optical technician","Al-Dawadmi - Al-Riyadh Province"
"03/30/2014","laboratory technician","Al-Riyadh - Al-Riyadh Province"
"03/27/2014","Coordinator of Health Services","Al-Riyadh - Al-Riyadh Province"
"03/24/2014","Medical Services Coordinator","Al-Riyadh - Al-Riyadh Province"
"02/15/2014","Ray art","Al-Khobar - Eastern Province"
"02/15/2014","Technical laboratory","Al-Khobar - Eastern Province"
"02/05/2014","Anesthesia Technician","Al-Riyadh - Al-Riyadh Province"
"12/29/2013","laboratory technician","Al-Khobar - Eastern Province"
"12/14/2013","Food Safety Specialist","Al-Riyadh Province"
