"job_date","job_title","job_location"
"07/22/2018","Production Supervisor","Makkah - Makkah Province"
"07/02/2018","Executive Secretary","Jeddah - Makkah Province"
"06/26/2018","Shelving Shelves","Al-Riyadh - Al-Riyadh Province"
"06/22/2018","Customer service employee","Multiple Cities - All Provinces"
"06/06/2018","Shop Manager","Jeddah - Makkah Province"
"06/05/2018","Sales Consultant","Al-Riyadh - Al-Riyadh Province"
"05/29/2018","Coordinator of general therapies","Al-Riyadh - Al-Riyadh Province"
"05/29/2018","Customer service employee","Al-Riyadh - Al-Riyadh Province"
"05/29/2018","Hotel receptionist","Al-Riyadh - Al-Riyadh Province"
"05/29/2018","waiter","Al-Riyadh - Al-Riyadh Province"
"05/29/2018","chief assistant","Al-Riyadh - Al-Riyadh Province"
"05/29/2018","Employee surveillance cameras","Al-Riyadh - Al-Riyadh Province"
"05/28/2018","Application Specialist","Al-Dammam - Eastern Province"
"04/10/2018","Operation Coordinator","Al-Dammam - Eastern Province"
"04/01/2018","HTV Heavy driver","Al-Riyadh - Al-Riyadh Province"
"03/27/2018","Secretarial Officer","Al-Riyadh - Al-Riyadh Province"
"03/16/2018","Site Architect Engineer","Multiple Cities - All Provinces"
"03/05/2018","Document Controller","Al-Riyadh - Al-Riyadh Province"
"03/03/2018","Quality Engineer","Al-Riyadh - Al-Riyadh Province"
"02/25/2018","secretary","Al-Riyadh - Al-Riyadh Province"
"02/21/2018","Translator","Al-Riyadh - Al-Riyadh Province"
"02/14/2018","Heavy Truck Driver","Al-Riyadh - Al-Riyadh Province"
"02/12/2018","Marketing Executive","Al-Riyadh - Al-Riyadh Province"
"02/12/2018","Heavy Equipment Operator","Al-Riyadh - Al-Riyadh Province"
"02/12/2018","Auto Electrician","Al-Riyadh - Al-Riyadh Province"
"02/11/2018","Site Electrical Engineer","Multiple Cities - All Provinces"
"02/11/2018","Site Mechanical Enigneer","Multiple Cities - All Provinces"
"02/11/2018","Civil Engineer","Multiple Cities - All Provinces"
"02/01/2018","receptionist","Al-Riyadh - Al-Riyadh Province"
"01/29/2018","Coffee Shop Manager","Al-Khobar - Eastern Province"
"01/28/2018","Cool Staff","Makkah - Makkah Province"
"01/15/2018","Software Quality Tester","Al-Riyadh - Al-Riyadh Province"
"01/10/2018","Home sales representative","Makkah - Makkah Province"
"01/09/2018","Senior Accountant","Al-Khobar - Eastern Province"
"12/30/2017","Home sales representative","Jeddah - Makkah Province"
"12/24/2017","Designed","Makkah - Makkah Province"
"12/07/2017","National Sales Manager","Multiple Cities - All Provinces"
"12/07/2017","Salesman","Multiple Cities - All Provinces"
"12/07/2017","Marketing Manager","Makkah - Makkah Province"
"12/06/2017","Social Media Specialist","Al-Riyadh - Al-Riyadh Province"
"12/06/2017","Collection Agent","Al-Riyadh - Al-Riyadh Province"
"12/04/2017","tea boy","Jeddah - Makkah Province"
"11/30/2017","Digital Marketing Manager","Makkah - Makkah Province"
"11/28/2017","Tele-sales Officer","Makkah - Makkah Province"
"11/27/2017","Packaging Senior Operator","Makkah - Makkah Province"
"11/27/2017","Lathe Operator","Makkah - Makkah Province"
"11/27/2017","Refinery field Operator","Makkah - Makkah Province"
"11/27/2017","Chiller & Utility Technician","Makkah - Makkah Province"
"11/27/2017","Maintenance Technician","Makkah - Makkah Province"
"11/27/2017","Senior Utilities Technician","Makkah - Makkah Province"
"11/23/2017","Communication/Network Engineer","Multiple Cities - All Provinces"
"11/22/2017","Information Technology Specialist","Multiple Cities - All Provinces"
"11/16/2017","Baker","Makkah - Makkah Province"
"11/08/2017","Restaurant Cashier","Al-Dammam - Eastern Province"
"11/01/2017","Talent Team Leader","Multiple Cities - All Provinces"
"10/31/2017","Training Consultant","Makkah - Makkah Province"
"10/26/2017","Graphic Designer","Al-Dammam - Eastern Province"
"10/26/2017","Software Engineer","Al-Dammam - Eastern Province"
"10/26/2017","Business Analyst","Al-Khobar - Eastern Province"
"10/26/2017","Software developmer","Al-Dammam - Eastern Province"
"10/24/2017","Procurement Specialist","Al-Dammam - Eastern Province"
"08/29/2017","Security Guard","Al-Riyadh - Al-Riyadh Province"
"08/15/2017","Support Services Coordinator","Al-Riyadh - Al-Riyadh Province"
"08/07/2017","Electrical Technician","Al-Riyadh - Al-Riyadh Province"
"07/17/2017","Web Developer","Al-Dammam - Eastern Province"
"07/05/2017","Mechanical Technician","Al-Riyadh - Al-Riyadh Province"
"06/12/2017","Purchaser","Makkah - Makkah Province"
"06/05/2017","Marketing Specialist","Al-Riyadh - Al-Riyadh Province"
"06/05/2017","Recruitment Specialist","Al-Riyadh - Al-Riyadh Province"
"05/21/2017","Waiter","Al-Riyadh - Al-Riyadh Province"
"05/11/2017","Network Engineer","Al-Riyadh - Al-Riyadh Province"
"03/23/2016","Tea Boy","Al-Riyadh - Al-Riyadh Province"
"08/28/2015","Network Cabling Specialist","Al-Riyadh - Al-Riyadh Province"
"08/20/2015","Oracle DBA","Al-Riyadh - Al-Riyadh Province"
"08/19/2015","Bank Representative","Al-Riyadh - Al-Riyadh Province"
"08/16/2015","Network Cabling Specialist","Al-Riyadh - Al-Riyadh Province"
"02/26/2015","PHP Developer","Al-Jubail - Eastern Province"
"02/25/2015","Fiber Optics Engineer","Al-Jubail - Eastern Province"
"12/24/2014","Purchaser","Al-Riyadh - Al-Riyadh Province"
"06/11/2014","Accountant","Al-Riyadh Province"
"06/09/2014","Internal Audit Supervisor","Al-Riyadh Province"
"06/01/2014","Project Coordinator - Field Construction","Al-Riyadh Province"
"05/27/2014","Storekeeper","Al-Riyadh - Al-Riyadh Province"
"05/25/2014","Customer Service Representative","Al-Riyadh Province"
"05/06/2014","Sr. Accountant","Al-Riyadh - Al-Riyadh Province"
"05/06/2014","Flower Arranger","Al-Riyadh - Al-Riyadh Province"
"04/27/2014","Sales Officer","Al-Riyadh Province"
"02/19/2014","Flower Decorator","Al-Riyadh - Al-Riyadh Province"
"02/13/2014","Technical Sales","Al-Riyadh Province"
"02/13/2014","Accountant","Jeddah - Makkah Province"
"02/12/2014","Logistics Coordinator","Jeddah - Makkah Province"
"02/12/2014","Sales Representative","Al-Riyadh - Al-Riyadh Province"
"11/11/2013","Director of the Office","Makkah Province"
"07/16/2013","Driver","Al-Riyadh Province"
"03/27/2013","IT Professional","All Provinces"
"03/03/2013","Gift Packaging Technician Wrapping gift","Al-Riyadh - Al-Riyadh Province"
"01/23/2013","Receptionist","Al-Riyadh Province"
"03/09/2009","Secretary","Buaidah - Al-Qasem Province"
"12/28/2008","Registered Nurse and Practical Nurse","Jeddah - Al-Riyadh Province"
"10/27/2008","Secretary of Riyadh Branch","Al-Riyadh Province"
