"job_date","job_title","job_location"
"06/26/2018","Shelving Shelves","Al-Riyadh - Al-Riyadh Province"
"05/28/2018","Application Specialist","Al-Dammam - Eastern Province"
"04/10/2018","Operation Coordinator","Al-Dammam - Eastern Province"
"03/05/2018","Document Controller","Al-Riyadh - Al-Riyadh Province"
"12/24/2017","Designed","Makkah - Makkah Province"
"12/06/2017","Social Media Specialist","Al-Riyadh - Al-Riyadh Province"
"12/04/2017","tea boy","Jeddah - Makkah Province"
"11/27/2017","Chiller & Utility Technician","Makkah - Makkah Province"
"11/27/2017","Senior Utilities Technician","Makkah - Makkah Province"
"03/23/2016","Tea Boy","Al-Riyadh - Al-Riyadh Province"
"02/19/2014","Flower Decorator","Al-Riyadh - Al-Riyadh Province"
"07/16/2013","Driver","Al-Riyadh Province"
"03/03/2013","Gift Packaging Technician Wrapping gift","Al-Riyadh - Al-Riyadh Province"
"10/27/2008","Secretary of Riyadh Branch","Al-Riyadh Province"
