job_date,job_title,job_location
7/18/2018,Perfume seller,Jazan - Jazan Province
7/18/2018,Women's clothing retailer,Jeddah - Makkah Province
7/18/2018,Salesman,Al-Riyadh - Al-Riyadh Province
7/18/2018,Sales Representative,Jeddah - Makkah Province
7/18/2018,Director of Food Section,Al-Riyadh - Al-Riyadh Province
7/17/2018,Sales Representative,Multiple Cities - All Provinces
7/17/2018,Sales Supervisor,Al-Riyadh - Al-Riyadh Province
7/17/2018,Foodstuff Marketer,Al-Riyadh - Al-Riyadh Province
7/17/2018,Exhibition Dealer - Riyadh,Al-Riyadh - Al-Riyadh Province
7/17/2018,Sales Supervisor,Al-Hafuf - Eastern Province
7/17/2018,Sales Manager,Al-Hafuf - Eastern Province
7/17/2018,Seller glasses,Jeddah - Makkah Province
7/16/2018,Sales Representative,Jeddah - Makkah Province
7/16/2018,Exhibition Dealer - Jeddah,Jeddah - Makkah Province
7/16/2018,Casher,Jeddah - Makkah Province
7/16/2018,Salesman,Jeddah - Makkah Province
7/16/2018,Conditioning and refrigeration technician,Al-Dammam - Eastern Province
7/16/2018,optical technician,Jeddah - Makkah Province
7/15/2018,Coffee record,Abha - Asir Province
7/15/2018,Sales Representative,Jeddah - Makkah Province
7/15/2018,Retailer,Al-Dammam - Eastern Province
7/12/2018,Sales Representative,Al-Riyadh - Al-Riyadh Province
7/12/2018,Salesman,Multiple Cities - All Provinces
7/11/2018,Cole Center employee,Al-Riyadh - Al-Riyadh Province
7/11/2018,Sales Representative Building Materials,Multiple Cities - All Provinces
7/11/2018,Seller glasses,Jeddah - Makkah Province
7/10/2018,Salesman,Al-Riyadh - Al-Riyadh Province
7/10/2018,Perfume seller,Jeddah - Makkah Province
7/10/2018,security guard,Al-Dammam - Eastern Province
7/10/2018,Purchasing Manager,Al-Riyadh - Al-Riyadh Province
7/10/2018,Sales Representative,Jeddah - Makkah Province
7/9/2018,Gold seller and jewelry,Al-Dammam - Eastern Province
7/9/2018,Seller gallery,Al-Riyadh - Al-Riyadh Province
7/9/2018,Salesman,Al-Riyadh - Al-Riyadh Province
7/8/2018,Sales Representative Parts,Al-Riyadh - Al-Riyadh Province
7/8/2018,Marketing Representative,Al-Dammam - Eastern Province
7/7/2018,Purchasing Manager,Al-Riyadh - Al-Riyadh Province
7/7/2018,Salesman,Multiple Cities - All Provinces
7/7/2018,Auctioneer,Al-Riyadh - Al-Riyadh Province
7/7/2018,Sales Representative,Al-Riyadh - Al-Riyadh Province
