"job_date","job_title","job_location"
"07/22/2018","Production Supervisor","Makkah - Makkah Province"
"06/25/2018","Production engine","Al-Dammam - Eastern Province"
"05/08/2018","Production worker","Jeddah - Makkah Province"
"04/20/2018","Plastic blowing machine technician","Al-Riyadh - Al-Riyadh Province"
"04/20/2018","Printer driver","Al-Riyadh - Al-Riyadh Province"
"04/12/2018","Monitor quality output","Al-Riyadh - Al-Riyadh Province"
"04/12/2018","Printing Machine Operator","Al-Riyadh - Al-Riyadh Province"
"04/01/2018","Aluminum Fittings Technician","Makkah - Makkah Province"
"04/01/2018","Aluminum production technician","Makkah - Makkah Province"
"03/27/2018","Admin admin","Al-Riyadh - Al-Riyadh Province"
"03/24/2018","production assistant","Jeddah - Makkah Province"
"03/19/2018","Conditioning and refrigeration technician","Al-Dammam - Eastern Province"
"03/19/2018","Gas welding","Al-Dammam - Eastern Province"
"03/02/2018","Factor production","Jeddah - Makkah Province"
"02/27/2018","Factor production","Jeddah - Makkah Province"
"02/27/2018","Machine operator","Jeddah - Makkah Province"
"02/27/2018","Production technician","Al-Dammam - Eastern Province"
"02/21/2018","Production technician","Al-Dammam - Eastern Province"
"02/13/2018","Production Manager","Al-Riyadh - Al-Riyadh Province"
"02/13/2018","Machinery Operator","Jeddah - Makkah Province"
"02/08/2018","Machinery Operator","Jeddah - Makkah Province"
"02/05/2018","Machinery Operator","Jeddah - Makkah Province"
"02/03/2018","Tailor","Jeddah - Makkah Province"
"01/30/2018","Welding technician","Al-Dammam - Eastern Province"
"01/15/2018","Production technician","Al-Dammam - Eastern Province"
"11/29/2017","Machinery Operator","Jeddah - Makkah Province"
"11/27/2017","Packaging Senior Operator","Makkah - Makkah Province"
"11/27/2017","Refinery field Operator","Makkah - Makkah Province"
"08/21/2017","Production Technician","Najran - Najran Province"
"08/09/2017","Electrical Machinery Maintenance Technician","Jeddah - Makkah Province"
"05/28/2017","Production Supervisor","Al-Dammam - Eastern Province"
"05/04/2017","Factor production","Al-Riyadh - Al-Riyadh Province"
"05/04/2017","Machine operator","Al-Riyadh - Al-Riyadh Province"
"04/08/2017","Machine operator","Al-Dammam - Eastern Province"
"02/23/2017","Production line factor","Al-Riyadh - Al-Riyadh Province"
"02/19/2017","Production line factor","Al-Riyadh - Al-Riyadh Province"
"02/14/2017","Production Supervisor","Al-Dammam - Eastern Province"
"01/31/2017","Plastic film machine operator","Jeddah - Makkah Province"
"11/21/2016","cnc Opreator","Al-Dammam - Eastern Province"
"11/09/2016","Supervisor of Melamine Timber Production MDF","Jeddah - Makkah Province"
"11/07/2016","Machinery Technician","Makkah - Makkah Province"
"10/19/2016","Production Manager","Al-Riyadh - Al-Riyadh Province"
"10/17/2016","Production line worker","Jeddah - Makkah Province"
"10/09/2016","Director running laundry clothes","Buaidah - Al-Qasem Province"
"09/14/2016","Technical surveillance cameras","Al-Baha - Al-Baha Province"
"09/06/2016","Production line worker","Jeddah - Makkah Province"
"09/05/2016","Production line worker","Jeddah - Makkah Province"
"08/22/2016","Factor production","Al-Riyadh - Al-Riyadh Province"
"05/21/2016","Production Manager","Jeddah - Makkah Province"
"05/19/2016","Packaging and Wrapping worker","Jeddah - Makkah Province"
"05/16/2016","Oven and iron rolling machine","Al-Riyadh - Al-Riyadh Province"
"04/06/2016","Oven and rolling mill","Al-Riyadh - Al-Riyadh Province"
"04/04/2016","Production Supervisor","Al-Madinah - Madinah Province"
"03/20/2016","Shopfloor Worker","Jeddah - Makkah Province"
"03/19/2016","Technician operating machine producing","Jeddah - Makkah Province"
"03/15/2016","Machinery Operator","Al-Dammam - Eastern Province"
"03/14/2016","Wood production factor","Al-Dammam - Eastern Province"
"03/13/2016","Production Line Technician","Jeddah - Makkah Province"
"02/20/2016","Assistant Machine Operator","Al-Riyadh - Al-Riyadh Province"
"02/15/2016","Machinery Operator","Al-Dammam - Eastern Province"
