"job_date","job_title","job_location"
"07/09/2018","Ready-made concrete laboratory technician","Sabia - Jazan Province"
"05/31/2018","Nurse","Al-Riyadh - Al-Riyadh Province"
"05/30/2018","Seller gallery","Al-Riyadh - Al-Riyadh Province"
"05/28/2018","Nurse","Multiple Cities - All Provinces"
"05/06/2018","supervisor","Al-Riyadh - Al-Riyadh Province"
"05/06/2018","Gypsum Board Agent","Al-Riyadh - Al-Riyadh Province"
"05/06/2018","paint","Al-Riyadh - Al-Riyadh Province"
"04/05/2018","Safety Monitor","Multiple Cities - All Provinces"
"04/04/2018","Clean Worker","Al-Taif - Makkah Province"
"03/28/2018","Maintenance and Operation Officer","Al-Riyadh - Al-Riyadh Province"
"03/20/2018","civil engineer","Al-Khobar - Eastern Province"
"03/06/2018","Conditioning and refrigeration technician","Jeddah - Makkah Province"
"02/13/2018","laboratory technician","Al-Riyadh - Al-Riyadh Province"
"02/05/2018","Water insulation technician","Al-Riyadh - Al-Riyadh Province"
"01/31/2018","Marketer","Al-Riyadh - Al-Riyadh Province"
"12/28/2017","project manager","Multiple Cities - All Provinces"
"12/12/2017","Architect","Multiple Cities - All Provinces"
"11/15/2017","Electromechanical painter","Multiple Cities - All Provinces"
"11/15/2017","Autocad painter","Multiple Cities - All Provinces"
"10/22/2017","Sales Representative","Al-Dammam - Eastern Province"
"10/15/2017","civil engineer","Multiple Cities - All Provinces"
"10/15/2017","project manager","Multiple Cities - All Provinces"
"10/06/2017","Electrician","Multiple Cities - All Provinces"
"09/27/2017","Concrete mixer operator","Multiple Cities - All Provinces"
"09/25/2017","Security Permits Officer","Al-Khobar - Eastern Province"
"09/11/2017","Electrician","Al-Riyadh - Al-Riyadh Province"
"08/26/2017","Technician is clear tile","Al-Quriat - Al-Jouf Province"
"07/27/2017","Stone installation milestone","Al-Dhahran - Eastern Province"
"06/14/2017","warehouse guard","Al-Riyadh - Al-Riyadh Province"
"06/10/2017","Project Engineer","Al-Riyadh - Al-Riyadh Province"
"06/04/2017","Production Manager","Al-Riyadh - Al-Riyadh Province"
"05/31/2017","Production Manager","Al-Riyadh - Al-Riyadh Province"
"04/22/2017","Director of Concrete Plant","Beshah - Asir Province"
"03/11/2017","Equipment driver","Al-Riyadh - Al-Riyadh Province"
"02/12/2017","Granite and granite cutting technician","Al-Riyadh - Al-Riyadh Province"
"02/07/2017","Heavy Equipment Monitor & Projects","Jeddah - Makkah Province"
"01/13/2017","Sales Representative","Al-Riyadh - Al-Riyadh Province"
"12/17/2016","Sales Representative","Jeddah - Makkah Province"
"11/28/2016","Director of traffic and maintenance","Jeddah - Makkah Province"
"11/28/2016","Director of the program","Jeddah - Makkah Province"
"10/17/2016","Surveyor","Onaizah - Al-Qasem Province"
"10/09/2016","civil engineer","Makkah - Makkah Province"
"08/10/2016","civil engineer","Al-Kharj - Al-Riyadh Province"
"08/09/2016","Ceramic installation technician","Al-Dammam - Eastern Province"
"05/21/2016","supervisor","Al-Riyadh - Al-Riyadh Province"
"05/21/2016","Field Observer","Al-Riyadh - Al-Riyadh Province"
"05/19/2016","supervisor","Al-Riyadh - Al-Riyadh Province"
"04/21/2016","Receptionist","Al-Riyadh - Al-Riyadh Province"
"03/16/2016","Sales Representative (Building Materials)","Multiple Cities - All Provinces"
"02/29/2016","Assistant surveyor","Multiple Cities - All Provinces"
"02/04/2016","Sales Representative (Building Materials)","Al-Dammam - Eastern Province"
"12/27/2015","Security and Safety Engineer","Al-Riyadh - Al-Riyadh Province"
"12/02/2015","supervisor","Al-Baha - Al-Baha Province"
"11/17/2015","Developer and follower projects","Al-Riyadh - Al-Riyadh Province"
"11/15/2015","Tile, ceramic, porcelain and marble teacher","Al-Riyadh - Al-Riyadh Province"
"10/15/2015","Adaptation Technician","Al-Dammam - Eastern Province"
"10/15/2015","Automatic control technician","Al-Dammam - Eastern Province"
"10/10/2015","Paint Technician","Al-Jubail - Eastern Province"
"10/10/2015","scaffolding project manager","Al-Jubail - Eastern Province"
