"job_date","job_title","job_location"
"07/05/2018","Mechanical Technician","Multiple Cities - All Provinces"
"07/05/2018","Maintenance Engineer","Al-Riyadh - Al-Riyadh Province"
"05/20/2018","Mechanical Technician","Al-Riyadh - Al-Riyadh Province"
"05/10/2018","Mechanical Technician","Al-Riyadh - Al-Riyadh Province"
"05/06/2018","Turning technician","Jeddah - Makkah Province"
"04/04/2018","Mechanical Technician","Jeddah - Makkah Province"
"04/02/2018","Conditioning and refrigeration technician","Al-Riyadh - Al-Riyadh Province"
"03/27/2018","Mechanical technician","Najran - Najran Province"
"03/14/2018","Fire extinguishing technician","Jeddah - Makkah Province"
"03/07/2018","Machine Operation Technician","Al-Majma'a - Al-Riyadh Province"
"03/06/2018","Director of Car Workshop","Rabigh - Makkah Province"
"02/22/2018","Mechanical Technician","Al-Riyadh - Al-Riyadh Province"
"02/05/2018","Operations Engineer","Al-Riyadh - Al-Riyadh Province"
"01/24/2018","Mechanical Technician","Multiple Cities - All Provinces"
"01/03/2018","Equipment Mechanic","Al-Riyadh - Al-Riyadh Province"
"01/01/2018","Mechanical Equipment","Al-Riyadh - Al-Riyadh Province"
"12/21/2017","Maintenance technician","Al-Dammam - Eastern Province"
"12/18/2017","Technician Refrigeration & Air Conditioning","Al-Hafuf - Eastern Province"
"12/03/2017","production assistant","Al-Dammam - Eastern Province"
"11/29/2017","Industrial Mechanic Technician","Jeddah - Makkah Province"
"11/27/2017","Truck Mechanic","Al-Qunfuthah - Makkah Province"
"11/27/2017","Lathe Operator","Makkah - Makkah Province"
"11/27/2017","Maintenance Technician","Makkah - Makkah Province"
"11/12/2017","Auto mechanic and equipment","Jeddah - Makkah Province"
"11/11/2017","Sales Representative","Jeddah - Makkah Province"
"10/10/2017","Equipment Maintenance Technician","Tabouk - Tabouk Province"
"10/03/2017","Maintenance Technician Pumps","Al-Riyadh - Al-Riyadh Province"
"08/16/2017","Fire Pumps Technician","Al-Baha - Al-Baha Province"
"08/09/2017","mechanical supervisor","Al-Riyadh - Al-Riyadh Province"
"07/05/2017","Mechanical Technician","Al-Riyadh - Al-Riyadh Province"
"04/26/2017","Mechanical Technician","Al-Kharj - Al-Riyadh Province"
"04/12/2017","Technician Refrigeration & Air Conditioning","Buaidah - Al-Qasem Province"
"04/04/2017","Diesel pump technician","Arar - Northern Border Province"
"04/03/2017","Mechanical Heavy Equipment","Arar - Northern Border Province"
"03/27/2017","Mechanical Technician","Al-Kharj - Al-Riyadh Province"
"03/08/2017","Maintenance technician of iron cabinets","Al-Riyadh - Al-Riyadh Province"
"02/23/2017","Seller Parts","Al-Dammam - Eastern Province"
"02/09/2017","Seller Parts","Al-Dammam - Eastern Province"
"02/08/2017","Seller Parts","Al-Dammam - Eastern Province"
"01/11/2017","Mechanic of petrol cars","Al-Leeth - Makkah Province"
"12/17/2016","Mechanical technician","Jeddah - Makkah Province"
"12/07/2016","Mechanic Assistant","Multiple Cities - All Provinces"
"12/05/2016","Mechanical Engineer","Al-Riyadh - Al-Riyadh Province"
"12/05/2016","Mechanical Technician","Al-Riyadh - Al-Riyadh Province"
"11/28/2016","Mechanical Technician","Al-Riyadh - Al-Riyadh Province"
"10/30/2016","Mechanical Technician (Alarm & Fire Alarm Systems)","Al-Riyadh - Al-Riyadh Province"
"10/26/2016","Transfer and movement supervisor","Al-Dammam - Eastern Province"
"10/11/2016","Technician Refrigeration & Air Conditioning","Buaidah - Al-Qasem Province"
"09/26/2016","Technician Refrigeration & Air Conditioning","Al-Khobar - Eastern Province"
"09/19/2016","Mercedes - Benz Mercedes","Arar - Northern Border Province"
"09/19/2016","Hydraulic Technician Heavy Equipment","Arar - Northern Border Province"
"08/18/2016","Mechanical","Al-Dhahran - Eastern Province"
"08/01/2016","Air Conditioner Technician","Onaizah - Al-Qasem Province"
"07/26/2016","Mechanic Assistant","Al-Dhahran - Eastern Province"
"07/24/2016","Mechanic Assistant","Multiple Cities - All Provinces"
"05/31/2016","Movement Specialist","Multiple Cities - All Provinces"
"05/30/2016","Diesel engine maintenance technician","Multiple Cities - All Provinces"
"05/22/2016","Foreman","Jeddah - Makkah Province"
"05/18/2016","Conditioning and refrigeration technician","Onaizah - Al-Qasem Province"
"03/28/2016","Marine mechanic","Ras Tanorah - Eastern Province"
"03/23/2016","Mechanical Heavy Equipment","Al-Dammam - Eastern Province"
"03/19/2016","Refrigeration & Freezing Technician","Jeddah - Makkah Province"
"03/13/2016","Rust and lubrication factor","Jeddah - Makkah Province"
"02/28/2016","Mechanical Technician","Jeddah - Makkah Province"
"02/09/2016","Maintenance Officer","Jeddah - Makkah Province"
"02/07/2016","Mechanical Technician","Hail - Hail Province"
"12/28/2015","car mechanic","Multiple Cities - All Provinces"
"11/30/2015","Director of workshop machines and heavy equipment","Skaka - Al-Jouf Province"
"11/29/2015","Heavy Equipment Monitor","Al-Dawadmi - Al-Riyadh Province"
"11/22/2015","diesel mechanic","Al-Taif - Makkah Province"
"11/19/2015","Electricity technician","Al-Riyadh - Al-Riyadh Province"
"11/04/2015","Mechanical technician","Al-Riyadh - Al-Riyadh Province"
"11/01/2015","car mechanic","Yanbu - Madinah Province"
"10/22/2015","Precision Machinery Technician","Al-Jubail - Eastern Province"
"10/15/2015","Technician winding motors","Al-Dammam - Eastern Province"
"09/15/2015","Machinery Technician","Jeddah - Makkah Province"
"09/06/2015","Worker","Al-Madinah - Madinah Province"
"08/26/2015","Receptionist","Al-Riyadh - Al-Riyadh Province"
"08/26/2015","Mechanical Technician","Al-Riyadh - Al-Riyadh Province"
"07/29/2015","Mechanical technician","Jeddah - Makkah Province"
"07/05/2015","Water treatment technician","Jeddah - Makkah Province"
"07/04/2015","Mechanical Technician","Al-Riyadh - Al-Riyadh Province"
"06/16/2015","Gasoline Mechanic","Al-Riyadh - Al-Riyadh Province"
"06/16/2015","diesel mechanic","Al-Riyadh - Al-Riyadh Province"
"06/09/2015","Mechanical","Al-Dhahran - Eastern Province"
"06/03/2015","Mechanical Technician","Jeddah - Makkah Province"
"05/25/2015","Machinery Operator","Al-Dammam - Eastern Province"
"05/18/2015","Adaptation Technician","Al-Riyadh - Al-Riyadh Province"
"05/16/2015","mechanical engineer","Al-Riyadh - Al-Riyadh Province"
"05/07/2015","Welding technician","Al-Riyadh - Al-Riyadh Province"
"05/06/2015","car electrician","Al-Riyadh - Al-Riyadh Province"
