"job_date","job_title","job_location"
"04/18/2018","Plumbing technician","Al-Riyadh - Al-Riyadh Province"
"04/08/2018","Plumber","Al-Riyadh - Al-Riyadh Province"
"03/15/2018","Plumber drainage networks","Al-Riyadh - Al-Riyadh Province"
"02/08/2018","Plumbing technician","Multiple Cities - All Provinces"
"01/23/2018","Network Supervisor","Al-Riyadh - Al-Riyadh Province"
"10/04/2017","Technician installation of filters","Al-Dammam - Eastern Province"
"10/02/2017","Plumbing technician","Al-Riyadh - Al-Riyadh Province"
"01/11/2017","Agricultural Technician","Al-Riyadh - Al-Riyadh Province"
"01/02/2017","Swimming pool technician","Al-Riyadh - Al-Riyadh Province"
"10/17/2016","Plumbing technician","Wadi Al-Dawaser - Al-Riyadh Province"
"09/28/2016","Plumbing technician","Al-Qatef - Eastern Province"
"08/20/2016","Plumber","Makkah - Makkah Province"
"06/29/2016","Plumbing technician","Jeddah - Makkah Province"
"06/01/2016","Plumber","Al-Riyadh - Al-Riyadh Province"
"03/08/2016","Plumbing technician","Buaidah - Al-Qasem Province"
"12/30/2015","Plumbing technician","Al-Hafuf - Eastern Province"
"08/21/2015","Plumbing technician","Al-Hafuf - Eastern Province"
"05/18/2015","Plumber","Al-Riyadh - Al-Riyadh Province"
"03/18/2015","Plumber","Al-Riyadh - Al-Riyadh Province"
"03/15/2015","Plumber","Al-Riyadh - Al-Riyadh Province"
"03/11/2015","Plumber","Al-Riyadh - Al-Riyadh Province"
"03/06/2015","Plumber","Al-Riyadh - Al-Riyadh Province"
"01/18/2015","Plumbing technician extensions","Al-Riyadh - Al-Riyadh Province"
"08/25/2014","Plumber","Al-Riyadh - Al-Riyadh Province"
"08/20/2014","Plumber","Al-Riyadh - Al-Riyadh Province"
"03/26/2014","Plumber","Al-Madinah - Madinah Province"
"03/19/2014","Plumber","Al-Riyadh - Al-Riyadh Province"
"12/03/2013","Water network extension technician","Al-Riyadh Province"
"12/03/2013","Plumber","Al-Riyadh Province"
"12/02/2013","Plumbing Technician","All Provinces"
"12/01/2013","Plumbing technician","Jeddah - Makkah Province"
"09/10/2013","Welding technician","Al-Dammam - Eastern Province"
"09/09/2013","Plumber","Al-Riyadh - Al-Riyadh Province"
"05/29/2013","Pipe Fitter","Al-Dammam - Eastern Province"
"03/01/2012","Plumber","Jazan - Jazan Province"
