"job_date","job_title","job_location"
"07/03/2018","Blacksmith & Carpentry Technician","Jeddah - Makkah Province"
"05/21/2018","Marketer","Al-Riyadh - Al-Riyadh Province"
"05/06/2018","Carpenter","Al-Riyadh - Al-Riyadh Province"
"04/23/2018","Technical Affairs Officer","Jeddah - Makkah Province"
"04/04/2018","welding","Jeddah - Makkah Province"
"04/01/2018","Doors and wooden products","Makkah - Makkah Province"
"03/02/2018","Haddad (Fabricator)","Jeddah - Makkah Province"
"03/02/2018","welding","Jeddah - Makkah Province"
"02/11/2018","welding","Al-Dammam - Eastern Province"
"11/05/2017","Foreman","Al-Riyadh - Al-Riyadh Province"
"10/02/2017","Welding technician","Al-Riyadh - Al-Riyadh Province"
"09/18/2017","welding","Al-Riyadh - Al-Riyadh Province"
"01/20/2017","Carpenter","Tabouk - Tabouk Province"
"01/20/2017","Smith","Tabouk - Tabouk Province"
"07/09/2016","Aluminium technician","Al-Riyadh - Al-Riyadh Province"
"07/09/2016","Installation of billboards","Al-Kharj - Al-Riyadh Province"
"06/29/2016","Carpentry Technician","Makkah - Makkah Province"
"06/22/2016","Director of carpentry workshop","Al-Riyadh - Al-Riyadh Province"
"03/02/2016","Haddad Krital","Onaizah - Al-Qasem Province"
"01/18/2016","welding","Jeddah - Makkah Province"
"11/15/2015","welding","Al-Riyadh - Al-Riyadh Province"
"10/20/2015","Director Workshop Aluminum","Al-Riyadh - Al-Riyadh Province"
"10/15/2015","Designer and Cladding Technician","Al-Hafuf - Eastern Province"
"08/24/2015","Installation technician Cladding and Astrakr","Al-Riyadh - Al-Riyadh Province"
"07/02/2015","Factor production","Al-Riyadh - Al-Riyadh Province"
"05/25/2015","welding","Al-Dammam - Eastern Province"
"05/24/2015","welding","Al-Dammam - Eastern Province"
"05/18/2015","Carpenter","Al-Riyadh - Al-Riyadh Province"
"05/18/2015","Smith arming","Al-Riyadh - Al-Riyadh Province"
"04/09/2015","welding","Al-Riyadh - Al-Riyadh Province"
"02/13/2015","Technician installation panels","Al-Qunfuthah - Makkah Province"
"02/11/2015","Haddad (armed construction)","Al-Madinah - Madinah Province"
"02/09/2015","Carpenter","Al-Madinah - Madinah Province"
"11/20/2014","Carpentry (furniture installation)","Jeddah - Makkah Province"
"11/18/2014","welding","Al-Dammam - Eastern Province"
"10/28/2014","Painting of doors and wooden works","Al-Riyadh - Al-Riyadh Province"
"10/28/2014","Carpenter doors and wooden works","Al-Riyadh - Al-Riyadh Province"
"09/11/2014","Blacksmith Teacher","Khames Mushait - Asir Province"
"09/10/2014","Production Manager (Furniture Factory)","Al-Riyadh - Al-Riyadh Province"
"08/07/2014","Carpenter Technician","Al-Jubail - Eastern Province"
"06/25/2014","Smith","Al-Dammam - Eastern Province"
"06/25/2014","Worker","Eastern Province"
"06/17/2014","Installation factor for billboards","Al-Jubail - Eastern Province"
"05/28/2014","Welding technician","Al-Riyadh - Al-Riyadh Province"
"05/25/2014","Factor production","Jeddah - Makkah Province"
"05/14/2014","Welding technician","Al-Dammam - Eastern Province"
"05/13/2014","Technical technician","Al-Jubail - Eastern Province"
"04/03/2014","Welding technician","Buaidah - Al-Qasem Province"
"03/30/2014","Carpenter","Al-Riyadh - Al-Riyadh Province"
"03/26/2014","Carpenter Furniture","Al-Madinah - Madinah Province"
"03/18/2014","Kitchen Technician","Al-Khobar - Eastern Province"
"03/08/2014","Carpentry Concrete","Al-Riyadh - Al-Riyadh Province"
"03/08/2014","An armed blacksmith","Al-Riyadh - Al-Riyadh Province"
"03/05/2014","Carpentry Technician","Al-Dammam - Eastern Province"
"03/05/2014","Carpentry (reinforced concrete)","Al-Riyadh - Al-Riyadh Province"
"03/04/2014","An armed blacksmith","Al-Riyadh - Al-Riyadh Province"
"03/03/2014","Assistant carpenter","Al-Riyadh - Al-Riyadh Province"
"02/18/2014","Aluminium technician","Al-Hafuf - Eastern Province"
"02/06/2014","Carpenter","Al-Riyadh - Al-Riyadh Province"
"01/25/2014","Director of carpentry workshop","Al-Qatef - Eastern Province"
"12/31/2013","Welding technician","Al-Dammam - Eastern Province"
"12/29/2013","Blacksmith","Jeddah - Makkah Province"
"12/29/2013","Carpenter","Jeddah - Makkah Province"
"12/21/2013","Blacksmith technician","Jeddah - Makkah Province"
"11/26/2013","5 paint, compound and envelope 5 and 5 wooden machine operator","Al-Dammam - Eastern Province"
"09/02/2013","Oracle Applications Database Administrator","Jeddah - Makkah Province"
"08/21/2013","Musharraf Carpenter","Al-Riyadh - Al-Riyadh Province"
"06/03/2013","Pipe Fabricaor","Al-Dammam - Eastern Province"
"05/28/2013","Carpentry workshop official","Al-Dammam - Eastern Province"
"05/28/2013","Purchasing Representative (internal and external)","Al-Dammam - Eastern Province"
"05/02/2013","Expeditor","Al-Riyadh - Al-Riyadh Province"
"03/31/2013","Carpentry Technician","Jeddah - Makkah Province"
"01/23/2013","Employee of the women's clothing exhibition","All Provinces"
"01/23/2013","Receptionist","Al-Riyadh Province"
"06/25/2012","Officer purchases","Al-Riyadh - Al-Riyadh Province"
"06/24/2012","Officer purchases","Al-Riyadh - Al-Riyadh Province"
"04/30/2012","Welding technician","Jeddah - Makkah Province"
"03/02/2012","Smith","Al-Madinah - Madinah Province"
"02/27/2012","Welding general","Al-Jubail - Eastern Province"
"05/22/2011","secretary","Al-Riyadh - Al-Riyadh Province"
"12/17/2009","Director of office furniture production","Al-Riyadh - Al-Riyadh Province"
